,N,SSIM,MSE
397,4397,0.9269277310878383,0.006416538264602423
398,4398,0.9229691642201642,0.007420042529702187
399,4399,0.9154224936594825,0.0087995370849967
400,4400,0.9102036087315463,0.009755433537065983
401,4401,0.9091644631325798,0.01011815294623375
402,4402,0.8991752257573127,0.01206464972347021
403,4403,0.8913812569470951,0.01382207497954369
404,4404,0.8916760200203603,0.01438508927822113
405,4405,0.885547240772048,0.01622363366186619
406,4406,0.8762960834441182,0.01869522780179977
407,4407,0.8708622359005683,0.02060077153146267
408,4408,0.8680057906593504,0.0216557364910841
409,4409,0.8623080539750624,0.02324493601918221
410,4410,0.8622037900075641,0.02321428433060646
411,4411,0.8734805375453735,0.02059643156826496
412,4412,0.8628847039385016,0.02299279719591141
413,4413,0.8602077472315252,0.02335156500339508
414,4414,0.8671948085720502,0.02150660194456577
415,4415,0.8641301731588267,0.02235692366957664
416,4416,0.8582607300577145,0.02358046174049377
417,4417,0.8669626898933437,0.02145407535135746
418,4418,0.8647796512200719,0.02208409458398819
419,4419,0.8617671775939211,0.02262859232723713
420,4420,0.8632891694876222,0.0220821350812912
421,4421,0.8626645581075435,0.02223388850688934
422,4422,0.8621977589607992,0.0223157312721014
423,4423,0.8630664434761521,0.02188251912593842
424,4424,0.8581804120169791,0.02291243523359299
425,4425,0.8565551101254363,0.02335617132484913
426,4426,0.8636946255244561,0.02163237147033215
427,4427,0.8551454056405758,0.02338127233088017
428,4428,0.8546490389548365,0.02359289675951004
429,4429,0.8665087923719914,0.02087811753153801
430,4430,0.8538186333731149,0.02355594374239445
431,4431,0.8557697509622436,0.02325415797531605
432,4432,0.8677118923900525,0.02052886039018631
433,4433,0.8545400574062499,0.02342953160405159
434,4434,0.8560400208044328,0.02328620105981827
435,4435,0.8736519829796322,0.01987672038376331
436,4436,0.8629640177877416,0.0225374773144722
437,4437,0.861934996086146,0.02325388416647911
438,4438,0.8766378689235944,0.02011603489518166
439,4439,0.8713846037370068,0.02144817262887955
440,4440,0.8679122775382603,0.02280258014798164
441,4441,0.8790561528002918,0.01999015919864178
442,4442,0.8767174407439314,0.02081535011529922
443,4443,0.8698743961489159,0.02255747094750404
444,4444,0.8767931121552913,0.02066926658153534
445,4445,0.8738665801483725,0.02152416110038757
446,4446,0.8709927073483889,0.02224126644432545
447,4447,0.8778170170770541,0.02070444822311401
448,4448,0.8746529652991624,0.02138094045221806
449,4449,0.8733288961057459,0.02160448208451271
450,4450,0.875151254398885,0.02140414528548717
451,4451,0.8683934652118137,0.02241100929677486
452,4452,0.8724884550214551,0.02185818366706371
453,4453,0.872082876851965,0.0220208428800106
454,4454,0.86848541412045,0.02254101447761059
455,4455,0.871666394880913,0.02197463810443878
456,4456,0.8753986747530448,0.02130770497024059
457,4457,0.8708035410515758,0.0222293883562088
458,4458,0.8715805843216186,0.0221489816904068
459,4459,0.8740892078336033,0.0218571275472641
460,4460,0.8739414345718334,0.02190231531858444
461,4461,0.8738283984377095,0.02194643393158913
462,4462,0.8745007114452369,0.02205078303813934
463,4463,0.882107103153867,0.02033010125160217
464,4464,0.8771174491649192,0.02157917246222496
465,4465,0.8737259585929955,0.02255220711231232
466,4466,0.8822444385416691,0.02067936584353447
467,4467,0.8790603500140896,0.02137239649891853
468,4468,0.8736475903527835,0.02262212336063385
469,4469,0.8789165592328159,0.0213621873408556
470,4470,0.8855796091336616,0.01978784613311291
471,4471,0.876276988507086,0.0219351090490818
472,4472,0.8779011349349181,0.02172650024294853
473,4473,0.8771257996108625,0.02185429632663727
474,4474,0.8772999777492898,0.02189208753407001
475,4475,0.8728231559548847,0.02323368564248085
476,4476,0.8749553826416061,0.02245378121733665
477,4477,0.882121233526368,0.02088396623730659
478,4478,0.8732125993434603,0.02299745380878448
479,4479,0.8748651937178885,0.02247332781553268
480,4480,0.8896230690940129,0.01911240257322788
481,4481,0.8763749688959865,0.02229388989508152
482,4482,0.8751924560615306,0.02259366028010845
483,4483,0.886084396843627,0.01996050775051117
484,4484,0.8775567745840444,0.02221419475972652
485,4485,0.8730518429324099,0.02333428524434566
486,4486,0.8837914942926183,0.02073399350047112
487,4487,0.8845965010493201,0.02056899853050709
488,4488,0.8739481970519668,0.02323467284440994
489,4489,0.8769324993741221,0.02240034937858582
490,4490,0.8850527648838801,0.02047385089099407
491,4491,0.8762175958864922,0.02276394329965115
492,4492,0.8780711762551033,0.02223914861679077
493,4493,0.887499495191428,0.01994317583739758
494,4494,0.8822511415613239,0.02140948176383972
495,4495,0.8751807612970419,0.02323196083307266
496,4496,0.8846680825814961,0.02082713320851326
497,4497,0.8849599389792354,0.02081911265850067
498,4498,0.8760291922349934,0.02333644218742847
499,4499,0.882533335453062,0.02169109135866165
500,4500,0.885217312630291,0.02105377241969109
501,4501,0.881367812120876,0.02225091308355331
502,4502,0.8797012842787157,0.02264348231256008
503,4503,0.8874144073324446,0.02085219509899616
504,4504,0.8832500000428974,0.02190062217414379
505,4505,0.8816127671858407,0.02280974015593529
506,4506,0.8904375371029383,0.02058561146259308
507,4507,0.8864143543632176,0.02199641056358814
508,4508,0.8853438636130365,0.02257846854627132
509,4509,0.8896898633157957,0.02147510647773743
510,4510,0.8914363062155884,0.02100704796612263
511,4511,0.8842827306939722,0.02291010692715645
512,4512,0.8877296662741501,0.02230528369545937
513,4513,0.8933409279939694,0.02057300694286823
514,4514,0.8884234347632738,0.02217439562082291
515,4515,0.8872042688746601,0.02247484773397446
516,4516,0.8919303182515526,0.02130274660885334
517,4517,0.8857030050788506,0.02290758304297924
518,4518,0.8899377792016436,0.02191564068198204
519,4519,0.8886424346344665,0.02246889658272266
520,4520,0.8841439037413823,0.02313591539859772
521,4521,0.8889433189493711,0.02233341336250305
522,4522,0.8867314929576594,0.0229763500392437
523,4523,0.8892567888146541,0.02236076258122921
524,4524,0.8865103898842756,0.02298817969858646
525,4525,0.8901135597124724,0.02240660041570663
526,4526,0.8896189788313874,0.02257275581359863
527,4527,0.8843835921148656,0.02343156933784485
528,4528,0.8911662407247443,0.0222151130437851
529,4529,0.8879380272168269,0.02309111505746841
530,4530,0.885865155372191,0.02361737564206123
531,4531,0.8917340038304719,0.02213744632899761
532,4532,0.8901030125526436,0.02274014055728912
533,4533,0.8902685056607975,0.02279066666960716
534,4534,0.8926188896373375,0.02192576415836811
535,4535,0.892716680758264,0.02230130508542061
536,4536,0.8884322507663844,0.02328689582645893
537,4537,0.8948101305378537,0.02172349579632282
538,4538,0.9036577418566679,0.01934747211635113
539,4539,0.9120909209250283,0.0172050017863512
540,4540,0.9157628713216202,0.016325443983078
541,4541,0.9183583241982249,0.01567172817885876
542,4542,0.9216351026358287,0.01515844743698835
543,4543,0.9286764400643996,0.0126079386100173
544,4544,0.9408242644937856,0.006735616363584995
545,4545,0.9447398306909539,0.0023171566426754
546,4546,0.9380482112795107,0.0003723018162418157
547,4547,0.9374052849056355,0.0003829178167507052
548,4548,0.9387665286127581,0.0003550927503965795
549,4549,0.9377581078666284,0.0003776098019443452
550,4550,0.9384759369415643,0.0003588661202229559
551,4551,0.9380334342172376,0.0003602553042583168
552,4552,0.9381441219908292,0.0003543906495906413
553,4553,0.9392811777978711,0.0003248224966228008
554,4554,0.9380589362371036,0.0003476708952803165
555,4555,0.9393382801348181,0.0003140121698379517
556,4556,0.9379628067378138,0.0003440177533775568
557,4557,0.9388068206558238,0.0003180830390192568
558,4558,0.9386576943878395,0.0003279875963926315
559,4559,0.9379697487987648,0.0003430912620387971
560,4560,0.9389171393073092,0.0003158829058520496
561,4561,0.9377670003548244,0.0003504088963381946
562,4562,0.9385745322936984,0.0003296696522738785
563,4563,0.9382631546779926,0.0003370220074430108
564,4564,0.9424606007122122,0.0004162461264058948
565,4565,0.9439660838833421,0.0005797866033390164
566,4566,0.9437942751707072,0.0006636720499955118
567,4567,0.9441334306593064,0.0005551106296479702
568,4568,0.9438337739722218,0.0007009097607806325
569,4569,0.9444780302917531,0.0006719855591654778
570,4570,0.9439859955840151,0.0006593974540010095
571,4571,0.9441413201864242,0.0008357371552847326
572,4572,0.9443439605994487,0.0007606496219523251
573,4573,0.943304586301597,0.0007179188542068005
574,4574,0.9451134224497112,0.0008436564239673316
575,4575,0.9433392113221329,0.0006793238571844995
576,4576,0.9443103737410311,0.0008173219976015389
577,4577,0.9445334402431335,0.0007789700757712126
578,4578,0.9441884880591643,0.0007768712239339948
579,4579,0.9459658002951907,0.001061032759025693
580,4580,0.9443406830242695,0.0009239309001713991
581,4581,0.9451295529321753,0.0008872873149812222
582,4582,0.9451446617880646,0.001061364077031612
583,4583,0.944430595027066,0.0008710629772394896
584,4584,0.9453507769353301,0.001033822307363153
585,4585,0.9445689056430076,0.0009422635775990784
586,4586,0.9474569632571909,0.002950622700154781
587,4587,0.9470312224760615,0.003533097682520747
588,4588,0.9388744468567706,0.01033025700598955
589,4589,0.9369464760310338,0.01135661732405424
590,4590,0.944050798436401,0.007085769437253475
591,4591,0.947952736275222,0.002980990801006556
592,4592,0.9442384088703764,0.0006631134310737252
593,4593,0.9440824550723427,0.000572001445107162
594,4594,0.9432905676737888,0.0005017441581003368
595,4595,0.9441508685159318,0.0005655558197759092
596,4596,0.944063474901483,0.000466792902443558
597,4597,0.9423976384565831,0.0003927434736397117
598,4598,0.9438225798923557,0.0004131120513193309
599,4599,0.9425089096781132,0.0003483739274088293
600,4600,0.9429440033596806,0.0003561599587555975
